DivisionNm,DivisionID,StateAb,PartyAb,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,Australian Labor Party Votes,Australian Labor Party Percentage,TotalVotes,Swing,Population,0-17,18-34,35-49,50-64,65-79,80+,Couple without children,Couple with children,One parent family,Other family,Median weekly household income,Median weekly rent,Medain monthly mortgage repayments,Owned outright,Owned with a mortgage,Rented,Other tenure type,Tenure type not stated,Aboriginal/TSI,Overseas,Recent Migrant,LOTE spoken at home,Fully engaged,Partially engaged,At least partially engaged,Not engaged,Engagement status undertermined,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Year 12 equivalent,Cert III or higher,Preferred
Adelaide,179,SA,ALP,44819,41.82,62362,58.18,107181,0.12,188410,0.179,0.313,0.195,0.166,0.102,0.045,0.387,0.426,0.158,0.029,1298,300,1733,0.266,0.288,0.409,0.012,0.026,0.012,0.35,0.176,0.346,0.563,0.171,0.027,0.178,0.062,0.123,0.294,0.103,0.114,0.13,0.088,0.041,0.091,0.009,0.006,0.824,0.493,Labor
Aston,197,VIC,LP,60180,60.13,39910,39.87,100090,2.72,161813,0.215,0.234,0.205,0.193,0.115,0.038,0.331,0.506,0.149,0.013,1561,351,1733,0.341,0.425,0.197,0.014,0.022,0.005,0.302,0.088,0.252,0.568,0.192,0.031,0.171,0.038,0.12,0.209,0.152,0.101,0.157,0.109,0.055,0.081,0.009,0.007,0.797,0.493,Liberal
Ballarat,198,VIC,ALP,40068,39.02,62615,60.98,102683,-3.62,154461,0.231,0.22,0.189,0.188,0.13,0.042,0.394,0.416,0.177,0.014,1182,250,1400,0.336,0.356,0.273,0.008,0.028,0.013,0.105,0.03,0.053,0.491,0.203,0.037,0.205,0.064,0.118,0.202,0.15,0.122,0.127,0.099,0.062,0.103,0.009,0.007,0.686,0.451,Labor
Banks,103,NSW,LP,51609,56.26,40121,43.74,91730,4.82,164403,0.21,0.253,0.197,0.182,0.108,0.049,0.316,0.502,0.161,0.021,1598,420,2167,0.336,0.319,0.313,0.007,0.025,0.008,0.389,0.128,0.452,0.569,0.167,0.031,0.19,0.043,0.119,0.235,0.126,0.099,0.168,0.096,0.058,0.08,0.011,0.009,0.834,0.478,Liberal
Barker,180,SA,LP,72851,68.94,32815,31.06,105666,5.07,171058,0.221,0.187,0.183,0.21,0.15,0.049,0.459,0.383,0.146,0.011,1076,190,1157,0.357,0.339,0.262,0.015,0.027,0.025,0.109,0.032,0.057,0.469,0.21,0.041,0.209,0.071,0.171,0.12,0.135,0.103,0.104,0.092,0.079,0.181,0.008,0.007,0.579,0.349,Liberal
Barton,104,NSW,ALP,36489,40.59,53418,59.41,89907,-1.11,187865,0.184,0.32,0.202,0.155,0.097,0.043,0.357,0.468,0.15,0.025,1601,462,2167,0.302,0.289,0.372,0.006,0.03,0.007,0.492,0.192,0.591,0.581,0.155,0.03,0.175,0.059,0.115,0.244,0.119,0.1,0.145,0.098,0.057,0.1,0.011,0.01,0.839,0.48,Labor
Bass,192,TAS,LP,34648,50.41,34085,49.59,68733,5.83,104784,0.214,0.215,0.18,0.2,0.145,0.046,0.427,0.378,0.178,0.016,1033,220,1257,0.347,0.318,0.299,0.01,0.026,0.034,0.123,0.041,0.057,0.464,0.207,0.037,0.223,0.07,0.117,0.192,0.137,0.122,0.12,0.108,0.071,0.117,0.01,0.007,0.604,0.398,Liberal
Bean,318,ACT,ALP,39484,42.48,53455,57.52,92939,1.33,138303,0.231,0.225,0.209,0.192,0.113,0.031,0.362,0.471,0.154,0.013,2036,370,2000,0.312,0.422,0.239,0.007,0.021,0.021,0.221,0.066,0.168,0.603,0.16,0.04,0.146,0.052,0.15,0.267,0.111,0.105,0.187,0.07,0.03,0.054,0.02,0.005,0.783,0.538,Labor
Bendigo,200,VIC,ALP,41645,40.96,60016,59.04,101661,-5.17,150775,0.227,0.209,0.185,0.195,0.138,0.046,0.408,0.402,0.175,0.015,1179,250,1400,0.352,0.359,0.254,0.006,0.029,0.015,0.09,0.027,0.045,0.474,0.213,0.038,0.201,0.075,0.119,0.209,0.144,0.12,0.119,0.098,0.057,0.118,0.009,0.006,0.663,0.449,Labor
Bennelong,105,NSW,LP,54809,56.91,41496,43.09,96305,-2.81,181093,0.2,0.287,0.207,0.166,0.096,0.044,0.341,0.513,0.125,0.022,1817,462,2207,0.306,0.302,0.361,0.01,0.022,0.004,0.476,0.193,0.492,0.62,0.152,0.025,0.163,0.04,0.141,0.34,0.098,0.083,0.152,0.086,0.028,0.054,0.01,0.008,0.886,0.577,Liberal
Berowra,106,NSW,LP,61675,65.65,32272,34.35,93947,-0.8,151143,0.237,0.188,0.207,0.201,0.123,0.044,0.312,0.575,0.104,0.009,2256,532,2500,0.398,0.417,0.145,0.022,0.019,0.005,0.324,0.08,0.26,0.606,0.185,0.028,0.149,0.032,0.171,0.315,0.103,0.082,0.152,0.085,0.025,0.051,0.009,0.006,0.871,0.576,Liberal
Blair,304,QLD,ALP,46802,48.79,49123,51.21,95925,6.93,171503,0.268,0.242,0.192,0.17,0.1,0.028,0.35,0.431,0.203,0.015,1325,295,1530,0.256,0.352,0.362,0.005,0.025,0.044,0.15,0.053,0.069,0.494,0.167,0.034,0.233,0.072,0.097,0.143,0.153,0.128,0.14,0.094,0.095,0.132,0.011,0.007,0.679,0.406,Labor
Blaxland,107,NSW,ALP,28509,35.28,52299,64.72,80808,4.76,186933,0.246,0.294,0.185,0.156,0.085,0.033,0.251,0.538,0.187,0.023,1222,390,1950,0.279,0.285,0.392,0.006,0.038,0.006,0.495,0.181,0.684,0.469,0.149,0.03,0.284,0.068,0.082,0.161,0.161,0.107,0.135,0.098,0.095,0.132,0.014,0.015,0.761,0.354,Labor
Bonner,310,QLD,LNP,54072,57.41,40115,42.59,94187,4.02,158647,0.234,0.234,0.216,0.173,0.104,0.039,0.349,0.481,0.152,0.018,1742,400,2015,0.312,0.373,0.282,0.009,0.024,0.018,0.276,0.112,0.183,0.584,0.178,0.032,0.16,0.047,0.132,0.254,0.119,0.097,0.159,0.094,0.05,0.079,0.01,0.006,0.84,0.512,Liberal
Boothby,182,SA,LP,56812,51.38,53765,48.62,110577,-1.33,170797,0.191,0.231,0.19,0.188,0.136,0.065,0.407,0.422,0.15,0.021,1329,300,1733,0.339,0.328,0.289,0.019,0.024,0.009,0.243,0.098,0.166,0.551,0.205,0.032,0.167,0.044,0.126,0.287,0.112,0.125,0.14,0.092,0.03,0.075,0.008,0.005,0.828,0.516,Liberal
Bowman,155,QLD,LNP,59237,60.24,39102,39.76,98339,3.17,154617,0.231,0.197,0.195,0.201,0.134,0.042,0.394,0.441,0.153,0.011,1521,386,1950,0.318,0.398,0.245,0.016,0.023,0.023,0.226,0.067,0.066,0.547,0.192,0.034,0.186,0.041,0.124,0.172,0.159,0.109,0.16,0.1,0.063,0.098,0.009,0.006,0.773,0.471,Liberal
Braddon,193,TAS,LP,37151,53.09,32822,46.91,69973,4.82,104992,0.218,0.187,0.176,0.213,0.158,0.049,0.449,0.365,0.175,0.01,990,200,1170,0.368,0.314,0.281,0.007,0.03,0.073,0.086,0.016,0.024,0.429,0.209,0.042,0.258,0.063,0.122,0.137,0.15,0.12,0.113,0.103,0.085,0.151,0.011,0.007,0.486,0.367,Liberal
Bradfield,108,NSW,LP,63997,66.56,32146,33.44,96143,-4.48,169310,0.243,0.199,0.217,0.176,0.112,0.054,0.32,0.556,0.111,0.014,2341,550,2800,0.376,0.353,0.242,0.011,0.018,0.002,0.427,0.157,0.339,0.609,0.167,0.024,0.165,0.035,0.192,0.388,0.061,0.077,0.132,0.082,0.015,0.036,0.012,0.006,0.91,0.62,Liberal
Brand,235,WA,ALP,38508,43.34,50333,56.66,88841,4.77,172893,0.262,0.257,0.208,0.158,0.088,0.026,0.348,0.472,0.166,0.013,1533,350,1950,0.217,0.492,0.261,0.007,0.023,0.024,0.323,0.145,0.104,0.491,0.17,0.038,0.215,0.085,0.088,0.136,0.2,0.126,0.126,0.097,0.097,0.112,0.012,0.006,0.585,0.424,Labor
Brisbane,156,QLD,LNP,55995,54.92,45962,45.08,101957,-1.08,174646,0.156,0.385,0.214,0.148,0.073,0.024,0.476,0.382,0.11,0.032,1871,400,2167,0.2,0.26,0.508,0.006,0.027,0.01,0.283,0.153,0.182,0.635,0.137,0.025,0.118,0.085,0.151,0.357,0.082,0.097,0.135,0.083,0.022,0.058,0.01,0.005,0.852,0.587,Liberal
Bruce,201,VIC,ALP,33351,35.85,59689,64.15,93040,-0.1,190121,0.216,0.277,0.191,0.173,0.107,0.036,0.304,0.486,0.186,0.023,1198,300,1517,0.308,0.329,0.32,0.005,0.037,0.004,0.532,0.209,0.575,0.493,0.159,0.03,0.259,0.059,0.078,0.135,0.163,0.108,0.123,0.097,0.115,0.157,0.011,0.011,0.742,0.378,Labor
